 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1417.4656	 11.558658
 50	 91022	    60	    60	 1470.7387	 11.139953
 50	 51200	    80	    80	 1459.7190	 11.224078
 50	 32768	   100	   100	 1485.0909	 11.032321
 50	 22755	   120	   120	 1482.2661	 11.053076
 50	 16718	   140	   140	 1463.5224	 11.194663
 50	 12800	   160	   160	 1416.7326	 11.564638
 50	 10113	   180	   180	 1314.9701	 12.458884
 50	  8192	   200	   200	 1227.4607	 13.347881
 50	  6770	   220	   220	 1140.9607	 14.359303
 50	  5688	   240	   240	 1063.4221	 15.404457
 50	  4847	   260	   260	 1024.9689	 15.983763
 50	  4179	   280	   280	 959.5209	 17.072770
 50	  3640	   300	   300	 889.1811	 18.421445
 50	  3200	   320	   320	 893.2049	 18.342936
 50	  2834	   340	   340	 883.8117	 18.533948
 50	  2528	   360	   360	 854.6973	 19.166364
 50	  2269	   380	   380	 879.6161	 18.624239
 50	  2048	   400	   400	 903.7316	 18.129277
 50	  1857	   420	   420	 913.6310	 17.927085
 50	  1692	   440	   440	 905.3096	 18.091667
 50	  1548	   460	   460	 908.6207	 18.024948
 50	  1422	   480	   480	 919.6521	 17.812649
 50	  1310	   500	   500	 907.9724	 18.034689
 50	  1211	   520	   520	 919.8598	 17.799148
 50	  1123	   540	   540	 911.0609	 17.971729
 50	  1044	   560	   560	 930.3903	 17.594681
 50	   974	   580	   580	 936.0489	 17.501950
 50	   910	   600	   600	 934.5624	 17.526919
 50	   852	   620	   620	 927.2466	 17.660286
 50	   800	   640	   640	 937.0924	 17.483868
 50	   752	   660	   660	 941.2588	 17.400697
 50	   708	   680	   680	 949.2502	 17.244095
 50	   668	   700	   700	 943.0183	 17.354912
 50	   632	   720	   720	 941.1426	 17.405906
 50	   598	   740	   740	 950.5839	 17.224402
 50	   567	   760	   760	 954.6114	 17.153535
 50	   538	   780	   780	 966.7200	 16.929370
 50	   512	   800	   800	 938.1588	 17.463995
 50	   487	   820	   820	 953.4559	 17.172205
 50	   464	   840	   840	 947.5427	 17.276181
 50	   443	   860	   860	 952.3907	 17.201071
 50	   423	   880	   880	 918.0117	 17.841342
 50	   404	   900	   900	 948.3580	 17.252978
 50	   387	   920	   920	 975.5996	 16.787461
 50	   370	   940	   940	 968.2525	 16.882579
 50	   355	   960	   960	 936.0369	 17.476234
 50	   341	   980	   980	 972.4803	 16.838202
 50	   327	  1000	  1000	 980.9304	 16.667850
 50	   314	  1020	  1020	 921.0461	 17.734487
 50	   302	  1040	  1040	 966.0960	 16.905318
 50	   291	  1060	  1060	 976.7307	 16.737859
 50	   280	  1080	  1080	 951.3525	 17.164616
 50	   270	  1100	  1100	 980.3371	 16.662635
 50	   261	  1120	  1120	 977.7257	 16.742856
 50	   252	  1140	  1140	 944.2142	 17.342420
 50	   243	  1160	  1160	 947.9900	 17.246005
 50	   235	  1180	  1180	 987.1334	 16.573951
 50	   227	  1200	  1200	 974.4478	 16.772576
 50	   220	  1220	  1220	 990.7741	 16.524856
 50	   213	  1240	  1240	 950.4972	 17.228288
 50	   206	  1260	  1260	 979.4040	 16.696154
 50	   200	  1280	  1280	 995.2673	 16.461909
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1462116526.2979	 0.000011
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1410.1596	 11.618543
 50	 91022	    60	    60	 1481.1883	 11.061362
