 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1417.1064	 11.561588
 50	 91022	    60	    60	 1470.7088	 11.140179
 50	 51200	    80	    80	 1461.4534	 11.210758
 50	 32768	   100	   100	 1484.5230	 11.036542
 50	 22755	   120	   120	 1482.3169	 11.052697
 50	 16718	   140	   140	 1461.8711	 11.207308
 50	 12800	   160	   160	 1415.4759	 11.574906
 50	 10113	   180	   180	 1314.1941	 12.466241
 50	  8192	   200	   200	 1226.8688	 13.354321
 50	  6770	   220	   220	 1572.0474	 10.421696
 50	  5688	   240	   240	 1583.7207	 10.343642
 50	  4847	   260	   260	 1587.5609	 10.319516
 50	  4179	   280	   280	 1571.3854	 10.424992
 50	  3640	   300	   300	 1574.2419	 10.405008
 50	  3200	   320	   320	 1574.2378	 10.407576
 50	  2834	   340	   340	 1602.5439	 10.221573
 50	  2528	   360	   360	 1574.4316	 10.404669
 50	  2269	   380	   380	 1591.4551	 10.293837
 50	  2048	   400	   400	 1592.9972	 10.285015
 50	  1857	   420	   420	 1598.7001	 10.245036
 50	  1692	   440	   440	 1583.1242	 10.345720
 50	  1548	   460	   460	 1586.5243	 10.323094
 50	  1422	   480	   480	 1599.8755	 10.239197
 50	  1310	   500	   500	 1580.4085	 10.361245
 50	  1211	   520	   520	 1593.3566	 10.275616
 50	  1123	   540	   540	 1550.0690	 10.562975
 50	  1044	   560	   560	 1565.6369	 10.455758
 50	   974	   580	   580	 1541.6357	 10.626817
 50	   910	   600	   600	 1517.1176	 10.796790
 50	   852	   620	   620	 1493.3687	 10.965437
 50	   800	   640	   640	 1480.9836	 11.062918
 50	   752	   660	   660	 1634.1294	 10.022805
 50	   708	   680	   680	 1586.5085	 10.317600
 50	   668	   700	   700	 1605.8535	 10.191465
 50	   632	   720	   720	 1604.9370	 10.206905
 50	   598	   740	   740	 1598.7519	 10.241264
 50	   567	   760	   760	 1575.0797	 10.396274
 50	   538	   780	   780	 1591.0552	 10.286230
 50	   512	   800	   800	 1576.2834	 10.394070
 50	   487	   820	   820	 1562.1261	 10.481190
 50	   464	   840	   840	 1559.5578	 10.496514
 50	   443	   860	   860	 1534.3378	 10.677010
 50	   423	   880	   880	 1495.0096	 10.955488
 50	   404	   900	   900	 1488.3491	 10.993389
 50	   387	   920	   920	 1592.5133	 10.284272
 50	   370	   940	   940	 1535.7689	 10.643919
 50	   355	   960	   960	 1567.2134	 10.437889
 50	   341	   980	   980	 1585.9834	 10.324711
 50	   327	  1000	  1000	 1518.0768	 10.770206
 50	   314	  1020	  1020	 1556.0601	 10.497204
 50	   302	  1040	  1040	 1560.5544	 10.465614
 50	   291	  1060	  1060	 1493.7945	 10.944196
 50	   280	  1080	  1080	 1518.5252	 10.753592
 50	   270	  1100	  1100	 1508.5579	 10.828222
 50	   261	  1120	  1120	 1593.3836	 10.273684
 50	   252	  1140	  1140	 1576.1058	 10.389506
 50	   243	  1160	  1160	 1532.2697	 10.669819
 50	   235	  1180	  1180	 1578.3039	 10.366001
 50	   227	  1200	  1200	 1565.9647	 10.437017
 50	   220	  1220	  1220	 1551.2857	 10.554084
 50	   213	  1240	  1240	 1548.9053	 10.572267
 50	   206	  1260	  1260	 1537.6842	 10.634355
 50	   200	  1280	  1280	 1533.0073	 10.687490
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1164736893.8305	 0.000014
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1409.9792	 11.620030
 50	 91022	    60	    60	 1481.9263	 11.055853
