 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 2088.9747	 7.843082
 50	 91022	    60	    60	 2286.8809	 7.164326
 50	 51200	    80	    80	 2391.9746	 6.849571
 50	 32768	   100	   100	 2514.0834	 6.516888
 50	 22755	   120	   120	 2560.6289	 6.398272
 50	 16718	   140	   140	 2584.6441	 6.338838
 50	 12800	   160	   160	 2580.1164	 6.350101
 50	 10113	   180	   180	 2699.4306	 6.069080
 50	  8192	   200	   200	 2201.3549	 7.442689
 50	  6770	   220	   220	 2674.2737	 6.126299
 50	  5688	   240	   240	 2719.0841	 6.024617
 50	  4847	   260	   260	 2600.2819	 6.300417
 50	  4179	   280	   280	 2793.3111	 5.864610
 50	  3640	   300	   300	 2818.2497	 5.812118
 50	  3200	   320	   320	 2756.8433	 5.943029
 50	  2834	   340	   340	 2657.6735	 6.163481
 50	  2528	   360	   360	 2710.8516	 6.042913
 50	  2269	   380	   380	 2762.2214	 5.930799
 50	  2048	   400	   400	 2613.5329	 6.268909
 50	  1857	   420	   420	 2788.7497	 5.873148
 50	  1692	   440	   440	 2707.8951	 6.048447
 50	  1548	   460	   460	 2592.0825	 6.318410
 50	  1422	   480	   480	 2854.4733	 5.738866
 50	  1310	   500	   500	 2266.9086	 7.223494
 50	  1211	   520	   520	 2693.5505	 6.078490
 50	  1123	   540	   540	 2801.6613	 5.844154
 50	  1044	   560	   560	 2722.1820	 6.013529
 50	   974	   580	   580	 2709.8209	 6.045669
 50	   910	   600	   600	 2891.4203	 5.665036
 50	   852	   620	   620	 2604.1343	 6.288247
 50	   800	   640	   640	 2171.7821	 7.544035
 50	   752	   660	   660	 2713.8204	 6.035241
 50	   708	   680	   680	 2695.1129	 6.073571
 50	   668	   700	   700	 2608.1304	 6.274993
 50	   632	   720	   720	 2665.1833	 6.146459
 50	   598	   740	   740	 2860.6936	 5.723521
 50	   567	   760	   760	 2713.2926	 6.035088
 50	   538	   780	   780	 2834.7542	 5.773326
 50	   512	   800	   800	 2365.7187	 6.925591
 50	   487	   820	   820	 2386.5266	 6.860573
 50	   464	   840	   840	 2291.0515	 7.145156
 50	   443	   860	   860	 2810.5781	 5.828744
 50	   423	   880	   880	 2675.7202	 6.121178
 50	   404	   900	   900	 2642.6633	 6.191481
 50	   387	   920	   920	 2613.3741	 6.266933
 50	   370	   940	   940	 1963.4629	 8.325393
 50	   355	   960	   960	 2542.0675	 6.435077
 50	   341	   980	   980	 2700.0856	 6.064556
 50	   327	  1000	  1000	 2406.5182	 6.794048
 50	   314	  1020	  1020	 2298.9476	 7.105112
 50	   302	  1040	  1040	 2704.6116	 6.038634
 50	   291	  1060	  1060	 2178.4520	 7.504586
 50	   280	  1080	  1080	 2851.8641	 5.725939
 50	   270	  1100	  1100	 2759.5092	 5.919531
 50	   261	  1120	  1120	 2574.1130	 6.359441
 50	   252	  1140	  1140	 2051.7331	 7.981038
 50	   243	  1160	  1160	 2598.1197	 6.292643
 50	   235	  1180	  1180	 2791.4576	 5.860988
 50	   227	  1200	  1200	 2707.0081	 6.037662
 50	   220	  1220	  1220	 2636.4230	 6.210081
 50	   213	  1240	  1240	 1891.6486	 8.656703
 50	   206	  1260	  1260	 2299.0027	 7.112771
 50	   200	  1280	  1280	 2792.3629	 5.867432
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1090785345.0159	 0.000015
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1930.7399	 8.485866
 50	 91022	    60	    60	 2120.1677	 7.727672
