 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1360.9782	 12.038400
 50	 91022	    60	    60	 1446.3359	 11.327908
 50	 51200	    80	    80	 1428.7625	 11.467266
 50	 32768	   100	   100	 1448.4088	 11.311724
 50	 22755	   120	   120	 1414.0442	 11.586342
 50	 16718	   140	   140	 1423.5166	 11.509272
 50	 12800	   160	   160	 1364.2825	 12.009243
 50	 10113	   180	   180	 1286.3874	 12.735712
 50	  8192	   200	   200	 1247.9310	 13.128931
 50	  6770	   220	   220	 1234.8566	 13.267451
 50	  5688	   240	   240	 1245.9627	 13.147617
 50	  4847	   260	   260	 1245.4191	 13.154496
 50	  4179	   280	   280	 1239.5095	 13.216260
 50	  3640	   300	   300	 1217.1735	 13.457408
 50	  3200	   320	   320	 1224.2017	 13.383415
 50	  2834	   340	   340	 1219.1665	 13.435835
 50	  2528	   360	   360	 1176.8397	 13.919857
 50	  2269	   380	   380	 1212.8135	 13.507584
 50	  2048	   400	   400	 1224.5477	 13.379634
 50	  1857	   420	   420	 1224.6401	 13.374329
 50	  1692	   440	   440	 1212.7746	 13.505032
 50	  1548	   460	   460	 1201.0815	 13.635911
 50	  1422	   480	   480	 1222.8691	 13.395906
 50	  1310	   500	   500	 1219.8800	 13.423451
 50	  1211	   520	   520	 1221.4856	 13.403940
 50	  1123	   540	   540	 1196.6006	 13.683212
 50	  1044	   560	   560	 1217.4780	 13.445763
 50	   974	   580	   580	 1211.1283	 13.526791
 50	   910	   600	   600	 1226.1486	 13.358903
 50	   852	   620	   620	 1215.6136	 13.470925
 50	   800	   640	   640	 1232.9458	 13.288500
 50	   752	   660	   660	 1219.0185	 13.435859
 50	   708	   680	   680	 1226.1530	 13.349851
 50	   668	   700	   700	 1217.9110	 13.437763
 50	   632	   720	   720	 1219.7834	 13.429794
 50	   598	   740	   740	 1222.7085	 13.390960
 50	   567	   760	   760	 1221.0144	 13.410947
 50	   538	   780	   780	 1237.6321	 13.223607
 50	   512	   800	   800	 1219.8061	 13.431643
 50	   487	   820	   820	 1231.3689	 13.296535
 50	   464	   840	   840	 1207.1240	 13.561092
 50	   443	   860	   860	 1213.8609	 13.495896
 50	   423	   880	   880	 1194.1833	 13.715282
 50	   404	   900	   900	 1201.7071	 13.615630
 50	   387	   920	   920	 1236.8099	 13.242003
 50	   370	   940	   940	 1237.3494	 13.210982
 50	   355	   960	   960	 1222.7217	 13.378678
 50	   341	   980	   980	 1234.8486	 13.260589
 50	   327	  1000	  1000	 1239.8844	 13.186713
 50	   314	  1020	  1020	 1166.1511	 14.007001
 50	   302	  1040	  1040	 1221.9561	 13.365586
 50	   291	  1060	  1060	 1223.8922	 13.357696
 50	   280	  1080	  1080	 1233.2190	 13.241444
 50	   270	  1100	  1100	 1234.5187	 13.231877
 50	   261	  1120	  1120	 1235.8631	 13.245739
 50	   252	  1140	  1140	 1195.0946	 13.701811
 50	   243	  1160	  1160	 1189.7160	 13.741968
 50	   235	  1180	  1180	 1252.2616	 13.064922
 50	   227	  1200	  1200	 1242.0292	 13.159111
 50	   220	  1220	  1220	 1252.4543	 13.072253
 50	   213	  1240	  1240	 1180.8057	 13.868022
 50	   206	  1260	  1260	 1242.4488	 13.161331
 50	   200	  1280	  1280	 1258.3586	 13.020136
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1306.0445	 12.544749
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1344.6252	 12.184808
 50	 91022	    60	    60	 1432.9423	 11.433789
