 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1361.4531	 12.034201
 50	 91022	    60	    60	 1445.0418	 11.338053
 50	 51200	    80	    80	 1429.0461	 11.464990
 50	 32768	   100	   100	 1448.4614	 11.311313
 50	 22755	   120	   120	 1413.1213	 11.593909
 50	 16718	   140	   140	 1422.8256	 11.514862
 50	 12800	   160	   160	 1532.2158	 10.693011
 50	 10113	   180	   180	 1520.1319	 10.777394
 50	  8192	   200	   200	 1539.5530	 10.642050
 50	  6770	   220	   220	 1549.8602	 10.570889
 50	  5688	   240	   240	 1573.2687	 10.412360
 50	  4847	   260	   260	 1603.5657	 10.216519
 50	  4179	   280	   280	 1603.8135	 10.214205
 50	  3640	   300	   300	 1573.6202	 10.409119
 50	  3200	   320	   320	 1600.1089	 10.239303
 50	  2834	   340	   340	 1592.5436	 10.285759
 50	  2528	   360	   360	 1537.6503	 10.653554
 50	  2269	   380	   380	 1565.5325	 10.464286
 50	  2048	   400	   400	 1579.8296	 10.370739
 50	  1857	   420	   420	 1570.3355	 10.430090
 50	  1692	   440	   440	 1540.1446	 10.634430
 50	  1548	   460	   460	 1578.5025	 10.375555
 50	  1422	   480	   480	 1621.7122	 10.101324
 50	  1310	   500	   500	 1593.3127	 10.277330
 50	  1211	   520	   520	 1588.3907	 10.307741
 50	  1123	   540	   540	 1581.6148	 10.352293
 50	  1044	   560	   560	 1600.3998	 10.228644
 50	   974	   580	   580	 1587.3316	 10.320893
 50	   910	   600	   600	 1586.1948	 10.326601
 50	   852	   620	   620	 1564.2864	 10.468313
 50	   800	   640	   640	 1558.5528	 10.512316
 50	   752	   660	   660	 1616.0310	 10.135053
 50	   708	   680	   680	 1596.2865	 10.254400
 50	   668	   700	   700	 1484.6145	 11.023737
 50	   632	   720	   720	 1587.6144	 10.318274
 50	   598	   740	   740	 1576.3035	 10.387111
 50	   567	   760	   760	 1476.1012	 11.093386
 50	   538	   780	   780	 1577.6734	 10.373478
 50	   512	   800	   800	 1590.9814	 10.298046
 50	   487	   820	   820	 1599.3499	 10.237247
 50	   464	   840	   840	 1599.8080	 10.232428
 50	   443	   860	   860	 1586.2035	 10.327893
 50	   423	   880	   880	 1537.6399	 10.651753
 50	   404	   900	   900	 1578.1203	 10.368031
 50	   387	   920	   920	 1470.0220	 11.141221
 50	   370	   940	   940	 1597.5011	 10.232606
 50	   355	   960	   960	 1489.3620	 10.983495
 50	   341	   980	   980	 1586.3240	 10.322494
 50	   327	  1000	  1000	 1587.3023	 10.300495
 50	   314	  1020	  1020	 1578.4674	 10.348190
 50	   302	  1040	  1040	 1497.7650	 10.904354
 50	   291	  1060	  1060	 1596.7212	 10.238719
 50	   280	  1080	  1080	 1561.6514	 10.456623
 50	   270	  1100	  1100	 1469.4429	 11.116458
 50	   261	  1120	  1120	 1599.1747	 10.236480
 50	   252	  1140	  1140	 1495.4564	 10.949808
 50	   243	  1160	  1160	 1574.7545	 10.381961
 50	   235	  1180	  1180	 1590.3305	 10.287610
 50	   227	  1200	  1200	 1605.0368	 10.182944
 50	   220	  1220	  1220	 1522.0382	 10.756892
 50	   213	  1240	  1240	 1584.1744	 10.336892
 50	   206	  1260	  1260	 1588.0263	 10.297235
 50	   200	  1280	  1280	 1582.1385	 10.355604
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1306.6665	 12.538777
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1344.3932	 12.186911
 50	 91022	    60	    60	 1433.4107	 11.430053
