 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1819.9741	 9.002326
 50	 91022	    60	    60	 2056.0483	 7.968665
 50	 51200	    80	    80	 2230.2141	 7.346380
 50	 32768	   100	   100	 1859.5881	 8.810553
 50	 22755	   120	   120	 2496.5924	 6.562385
 50	 16718	   140	   140	 2524.7347	 6.489252
 50	 12800	   160	   160	 2566.0933	 6.384803
 50	 10113	   180	   180	 2523.4411	 6.492349
 50	  8192	   200	   200	 2084.7661	 7.858915
 50	  6770	   220	   220	 2363.3163	 6.932377
 50	  5688	   240	   240	 2636.0673	 6.214348
 50	  4847	   260	   260	 2606.6699	 6.284977
 50	  4179	   280	   280	 2221.7725	 7.373248
 50	  3640	   300	   300	 2675.0269	 6.123303
 50	  3200	   320	   320	 2719.2661	 6.025155
 50	  2834	   340	   340	 2604.6497	 6.288953
 50	  2528	   360	   360	 2662.1360	 6.153495
 50	  2269	   380	   380	 2205.3924	 7.428238
 50	  2048	   400	   400	 2341.9940	 6.995748
 50	  1857	   420	   420	 2214.7304	 7.395365
 50	  1692	   440	   440	 2639.4567	 6.205277
 50	  1548	   460	   460	 2655.3788	 6.167798
 50	  1422	   480	   480	 2034.8128	 8.050588
 50	  1310	   500	   500	 2163.9275	 7.567259
 50	  1211	   520	   520	 2650.1947	 6.177931
 50	  1123	   540	   540	 2639.7126	 6.202698
 50	  1044	   560	   560	 2782.9952	 5.882123
 50	   974	   580	   580	 2676.4594	 6.121027
 50	   910	   600	   600	 2624.9718	 6.240067
 50	   852	   620	   620	 2668.4548	 6.136675
 50	   800	   640	   640	 2221.6376	 7.374740
 50	   752	   660	   660	 2704.6693	 6.055661
 50	   708	   680	   680	 2611.9967	 6.266838
 50	   668	   700	   700	 2592.9742	 6.311671
 50	   632	   720	   720	 1949.4420	 8.403143
 50	   598	   740	   740	 1675.1389	 9.774258
 50	   567	   760	   760	 2150.2997	 7.615199
 50	   538	   780	   780	 2745.2779	 5.961495
 50	   512	   800	   800	 2318.7868	 7.065764
 50	   487	   820	   820	 2435.9315	 6.721429
 50	   464	   840	   840	 2431.5255	 6.732366
 50	   443	   860	   860	 1538.6615	 10.647007
 50	   423	   880	   880	 1906.5528	 8.590667
 50	   404	   900	   900	 2538.9142	 6.444487
 50	   387	   920	   920	 1759.3332	 9.309118
 50	   370	   940	   940	 2265.4714	 7.215540
 50	   355	   960	   960	 2460.5984	 6.648139
 50	   341	   980	   980	 2636.6139	 6.210549
 50	   327	  1000	  1000	 2289.6568	 7.140808
 50	   314	  1020	  1020	 2119.5580	 7.706456
 50	   302	  1040	  1040	 2633.8795	 6.200800
 50	   291	  1060	  1060	 2344.5960	 6.972792
 50	   280	  1080	  1080	 2470.0243	 6.611109
 50	   270	  1100	  1100	 1656.1859	 9.863023
 50	   261	  1120	  1120	 1668.1992	 9.812929
 50	   252	  1140	  1140	 1902.1729	 8.608555
 50	   243	  1160	  1160	 2460.3825	 6.644918
 50	   235	  1180	  1180	 1690.6646	 9.677082
 50	   227	  1200	  1200	 1719.7357	 9.503786
 50	   220	  1220	  1220	 2022.7001	 8.094329
 50	   213	  1240	  1240	 2490.8870	 6.574140
 50	   206	  1260	  1260	 2412.9404	 6.776910
 50	   200	  1280	  1280	 2619.0782	 6.255636
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1773.6900	 9.237240
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1775.9659	 9.225402
