 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1417.4496	 11.558788
 50	 91022	    60	    60	 1465.6336	 11.178756
 50	 51200	    80	    80	 1459.1997	 11.228072
 50	 32768	   100	   100	 1482.1333	 11.054336
 50	 22755	   120	   120	 1479.3930	 11.074542
 50	 16718	   140	   140	 1460.4120	 11.218505
 50	 12800	   160	   160	 1414.0788	 11.586342
 50	 10113	   180	   180	 1314.7692	 12.460788
 50	  8192	   200	   200	 1226.7833	 13.355252
 50	  6770	   220	   220	 1138.6072	 14.388983
 50	  5688	   240	   240	 1062.4992	 15.417838
 50	  4847	   260	   260	 1024.8064	 15.986298
 50	  4179	   280	   280	 954.9963	 17.153658
 50	  3640	   300	   300	 889.0010	 18.425175
 50	  3200	   320	   320	 892.8818	 18.349574
 50	  2834	   340	   340	 880.5222	 18.603188
 50	  2528	   360	   360	 850.6937	 19.256567
 50	  2269	   380	   380	 876.4652	 18.691193
 50	  2048	   400	   400	 896.2623	 18.280363
 50	  1857	   420	   420	 904.2126	 18.113816
 50	  1692	   440	   440	 903.0930	 18.136073
 50	  1548	   460	   460	 896.3441	 18.271822
 50	  1422	   480	   480	 919.4710	 17.816158
 50	  1310	   500	   500	 910.1006	 17.992516
 50	  1211	   520	   520	 918.8443	 17.818819
 50	  1123	   540	   540	 910.6925	 17.979000
 50	  1044	   560	   560	 928.7270	 17.626192
 50	   974	   580	   580	 935.2212	 17.517439
 50	   910	   600	   600	 932.4530	 17.566569
 50	   852	   620	   620	 924.7540	 17.707888
 50	   800	   640	   640	 939.9076	 17.431500
 50	   752	   660	   660	 941.4163	 17.397787
 50	   708	   680	   680	 923.8500	 17.718200
 50	   668	   700	   700	 916.0240	 17.866345
 50	   632	   720	   720	 942.7065	 17.377030
 50	   598	   740	   740	 922.5017	 17.748737
 50	   567	   760	   760	 925.6779	 17.689696
 50	   538	   780	   780	 930.9588	 17.579682
 50	   512	   800	   800	 939.5211	 17.438672
 50	   487	   820	   820	 916.2826	 17.868876
 50	   464	   840	   840	 946.0546	 17.303357
 50	   443	   860	   860	 953.3465	 17.183826
 50	   423	   880	   880	 917.9037	 17.843441
 50	   404	   900	   900	 946.5382	 17.286149
 50	   387	   920	   920	 930.1151	 17.608401
 50	   370	   940	   940	 966.8084	 16.907796
 50	   355	   960	   960	 906.0554	 18.054526
 50	   341	   980	   980	 973.9088	 16.813504
 50	   327	  1000	  1000	 928.4778	 17.609467
 50	   314	  1020	  1020	 921.0563	 17.734291
 50	   302	  1040	  1040	 962.6294	 16.966197
 50	   291	  1060	  1060	 977.1199	 16.731192
 50	   280	  1080	  1080	 951.0756	 17.169613
 50	   270	  1100	  1100	 981.1782	 16.648352
 50	   261	  1120	  1120	 977.4617	 16.747378
 50	   252	  1140	  1140	 943.3818	 17.357724
 50	   243	  1160	  1160	 948.1784	 17.242578
 50	   235	  1180	  1180	 934.4500	 17.508374
 50	   227	  1200	  1200	 899.6071	 18.167932
 50	   220	  1220	  1220	 988.9767	 16.554890
 50	   213	  1240	  1240	 948.5570	 17.263528
 50	   206	  1260	  1260	 906.1828	 18.045234
 50	   200	  1280	  1280	 994.9198	 16.467659
