 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1415.0740	 11.578193
 50	 91022	    60	    60	 1468.0877	 11.160069
 50	 51200	    80	    80	 1459.1398	 11.228533
 50	 32768	   100	   100	 1483.0664	 11.047381
 50	 22755	   120	   120	 1480.5615	 11.065802
 50	 16718	   140	   140	 1459.5375	 11.225227
 50	 12800	   160	   160	 1415.0206	 11.578630
 50	 10113	   180	   180	 1315.5658	 12.453243
 50	  8192	   200	   200	 1226.0707	 13.363014
 50	  6770	   220	   220	 1137.5125	 14.402831
 50	  5688	   240	   240	 1062.5497	 15.417105
 50	  4847	   260	   260	 1599.4961	 10.242513
 50	  4179	   280	   280	 1580.0056	 10.368115
 50	  3640	   300	   300	 1579.7224	 10.368910
 50	  3200	   320	   320	 1578.0877	 10.382186
 50	  2834	   340	   340	 1607.3212	 10.191193
 50	  2528	   360	   360	 1588.2016	 10.314459
 50	  2269	   380	   380	 1595.0134	 10.270873
 50	  2048	   400	   400	 1601.4203	 10.230918
 50	  1857	   420	   420	 1603.2618	 10.215886
 50	  1692	   440	   440	 1595.8284	 10.263359
 50	  1548	   460	   460	 1583.2817	 10.344236
 50	  1422	   480	   480	 1598.1102	 10.250507
 50	  1310	   500	   500	 1590.3572	 10.296429
 50	  1211	   520	   520	 1594.4252	 10.268729
 50	  1123	   540	   540	 1560.2391	 10.494122
 50	  1044	   560	   560	 1570.8287	 10.421200
 50	   974	   580	   580	 1549.8360	 10.570589
 50	   910	   600	   600	 1530.3850	 10.703189
 50	   852	   620	   620	 1500.9908	 10.909754
 50	   800	   640	   640	 1476.4485	 11.096899
 50	   752	   660	   660	 1632.3499	 10.033731
 50	   708	   680	   680	 1593.9161	 10.269650
 50	   668	   700	   700	 1609.8487	 10.166173
 50	   632	   720	   720	 1615.9783	 10.137166
 50	   598	   740	   740	 1601.7297	 10.222224
 50	   567	   760	   760	 1572.7295	 10.411809
 50	   538	   780	   780	 1587.5523	 10.308927
 50	   512	   800	   800	 1585.1873	 10.335687
 50	   487	   820	   820	 1568.2028	 10.440576
 50	   464	   840	   840	 1565.8560	 10.454295
 50	   443	   860	   860	 1542.6810	 10.619266
 50	   423	   880	   880	 1495.9446	 10.948641
 50	   404	   900	   900	 1502.0776	 10.892913
 50	   387	   920	   920	 1452.1461	 11.278369
 50	   370	   940	   940	 1534.9755	 10.649421
 50	   355	   960	   960	 1570.4988	 10.416054
 50	   341	   980	   980	 1452.8360	 11.270935
 50	   327	  1000	  1000	 1521.5995	 10.745272
 50	   314	  1020	  1020	 1555.6607	 10.499899
 50	   302	  1040	  1040	 1447.3803	 11.283945
 50	   291	  1060	  1060	 1493.4871	 10.946449
 50	   280	  1080	  1080	 1519.0451	 10.749911
 50	   270	  1100	  1100	 1416.4444	 11.532398
 50	   261	  1120	  1120	 1597.2855	 10.248587
 50	   252	  1140	  1140	 1471.4246	 11.128644
 50	   243	  1160	  1160	 1534.9865	 10.650934
 50	   235	  1180	  1180	 1474.1646	 11.098286
 50	   227	  1200	  1200	 1567.9967	 10.423491
 50	   220	  1220	  1220	 1464.8971	 11.176485
 50	   213	  1240	  1240	 1553.6401	 10.540047
 50	   206	  1260	  1260	 1456.4555	 11.227449
 50	   200	  1280	  1280	 1533.0691	 10.687059
