 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 2032.0252	 8.062892
 50	 91022	    60	    60	 2220.3088	 7.379136
 50	 51200	    80	    80	 2391.4425	 6.851095
 50	 32768	   100	   100	 2310.8251	 7.090108
 50	 22755	   120	   120	 2316.4955	 7.072580
 50	 16718	   140	   140	 2413.7095	 6.787743
 50	 12800	   160	   160	 2588.0561	 6.330620
 50	 10113	   180	   180	 2295.3338	 7.137550
 50	  8192	   200	   200	 2056.0262	 7.968770
 50	  6770	   220	   220	 2386.9084	 6.863858
 50	  5688	   240	   240	 2500.7816	 6.550528
 50	  4847	   260	   260	 2603.4876	 6.292659
 50	  4179	   280	   280	 2237.1101	 7.322697
 50	  3640	   300	   300	 2828.9887	 5.790055
 50	  3200	   320	   320	 2331.2099	 7.028110
 50	  2834	   340	   340	 2235.1262	 7.328678
 50	  2528	   360	   360	 2714.3813	 6.035055
 50	  2269	   380	   380	 2271.5912	 7.211764
 50	  2048	   400	   400	 2412.0519	 6.792557
 50	  1857	   420	   420	 2275.2880	 7.198535
 50	  1692	   440	   440	 1886.4228	 8.682338
 50	  1548	   460	   460	 2595.3658	 6.310417
 50	  1422	   480	   480	 2027.1549	 8.081001
 50	  1310	   500	   500	 2397.9934	 6.828626
 50	  1211	   520	   520	 2696.3226	 6.072241
 50	  1123	   540	   540	 2804.3153	 5.838623
 50	  1044	   560	   560	 2781.0519	 5.886233
 50	   974	   580	   580	 1772.0941	 9.244814
 50	   910	   600	   600	 2902.4948	 5.643421
 50	   852	   620	   620	 2604.7283	 6.286813
 50	   800	   640	   640	 2173.3023	 7.538758
 50	   752	   660	   660	 1825.2649	 8.973251
 50	   708	   680	   680	 1739.3753	 9.410827
 50	   668	   700	   700	 2613.2611	 6.262673
 50	   632	   720	   720	 2012.0743	 8.141568
 50	   598	   740	   740	 1584.1289	 10.335800
 50	   567	   760	   760	 2046.0035	 8.003388
 50	   538	   780	   780	 1579.2838	 10.362900
 50	   512	   800	   800	 2373.4468	 6.903041
 50	   487	   820	   820	 1546.0012	 10.590509
 50	   464	   840	   840	 2289.3619	 7.150429
 50	   443	   860	   860	 1572.5074	 10.417846
 50	   423	   880	   880	 1951.3708	 8.393361
 50	   404	   900	   900	 2624.6732	 6.233919
 50	   387	   920	   920	 1572.4601	 10.415425
 50	   370	   940	   940	 1969.1461	 8.301365
 50	   355	   960	   960	 2551.0089	 6.412522
 50	   341	   980	   980	 1648.0025	 9.936162
 50	   327	  1000	  1000	 2422.0525	 6.750473
 50	   314	  1020	  1020	 1300.7564	 12.557524
 50	   302	  1040	  1040	 1773.7959	 9.207463
 50	   291	  1060	  1060	 2178.3814	 7.504829
 50	   280	  1080	  1080	 2856.2472	 5.717152
 50	   270	  1100	  1100	 1591.2613	 10.265442
 50	   261	  1120	  1120	 1702.3895	 9.615849
 50	   252	  1140	  1140	 2057.8470	 7.957326
 50	   243	  1160	  1160	 2588.3572	 6.316377
 50	   235	  1180	  1180	 1603.7268	 10.201675
 50	   227	  1200	  1200	 1551.7456	 10.532654
 50	   220	  1220	  1220	 1627.9642	 10.056978
 50	   213	  1240	  1240	 1896.4720	 8.634686
 50	   206	  1260	  1260	 2297.5324	 7.117323
 50	   200	  1280	  1280	 2806.4608	 5.837958
