 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1358.3366	 12.061812
 50	 91022	    60	    60	 1449.1981	 11.305535
 50	 51200	    80	    80	 1429.6261	 11.460339
 50	 32768	   100	   100	 1442.6606	 11.356795
 50	 22755	   120	   120	 1414.1922	 11.585130
 50	 16718	   140	   140	 1421.9507	 11.521947
 50	 12800	   160	   160	 1363.7934	 12.013550
 50	 10113	   180	   180	 1286.6303	 12.733308
 50	  8192	   200	   200	 1249.3472	 13.114049
 50	  6770	   220	   220	 1232.3918	 13.293987
 50	  5688	   240	   240	 1240.7822	 13.202510
 50	  4847	   260	   260	 1241.1351	 13.199901
 50	  4179	   280	   280	 1225.5661	 13.366623
 50	  3640	   300	   300	 1214.4148	 13.487978
 50	  3200	   320	   320	 1224.5626	 13.379471
 50	  2834	   340	   340	 1219.3595	 13.433708
 50	  2528	   360	   360	 1168.2463	 14.022249
 50	  2269	   380	   380	 1198.9742	 13.663497
 50	  2048	   400	   400	 1210.4725	 13.535211
 50	  1857	   420	   420	 1211.2304	 13.522398
 50	  1692	   440	   440	 1213.3589	 13.498529
 50	  1548	   460	   460	 1184.6655	 13.824864
 50	  1422	   480	   480	 1222.6795	 13.397984
 50	  1310	   500	   500	 1217.1044	 13.454063
 50	  1211	   520	   520	 1218.7189	 13.434369
 50	  1123	   540	   540	 1197.3449	 13.674707
 50	  1044	   560	   560	 1215.3032	 13.469824
 50	   974	   580	   580	 1209.4872	 13.545145
 50	   910	   600	   600	 1222.9930	 13.393372
 50	   852	   620	   620	 1210.9173	 13.523169
 50	   800	   640	   640	 1231.2957	 13.306308
 50	   752	   660	   660	 1216.6535	 13.461976
 50	   708	   680	   680	 1180.7469	 13.863225
 50	   668	   700	   700	 1172.7292	 13.955481
 50	   632	   720	   720	 1221.0579	 13.415777
 50	   598	   740	   740	 1170.2797	 13.990877
 50	   567	   760	   760	 1179.0439	 13.888338
 50	   538	   780	   780	 1172.6466	 13.956430
 50	   512	   800	   800	 1218.7235	 13.443575
 50	   487	   820	   820	 1174.6122	 13.939017
 50	   464	   840	   840	 1207.4256	 13.557705
 50	   443	   860	   860	 1214.0973	 13.493268
 50	   423	   880	   880	 1190.3682	 13.759238
 50	   404	   900	   900	 1201.8427	 13.614095
 50	   387	   920	   920	 1167.8843	 14.023512
 50	   370	   940	   940	 1232.9525	 13.258094
 50	   355	   960	   960	 1158.6113	 14.118972
 50	   341	   980	   980	 1232.3534	 13.287438
 50	   327	  1000	  1000	 1162.9317	 14.059295
 50	   314	  1020	  1020	 1163.9089	 14.033985
 50	   302	  1040	  1040	 1221.0965	 13.374995
 50	   291	  1060	  1060	 1221.9504	 13.378923
 50	   280	  1080	  1080	 1232.3698	 13.250568
 50	   270	  1100	  1100	 1233.8218	 13.239351
 50	   261	  1120	  1120	 1234.6976	 13.258242
 50	   252	  1140	  1140	 1194.1221	 13.712970
 50	   243	  1160	  1160	 1188.9501	 13.750821
 50	   235	  1180	  1180	 1152.6403	 14.194107
 50	   227	  1200	  1200	 1131.8528	 14.440040
 50	   220	  1220	  1220	 1251.1760	 13.085609
 50	   213	  1240	  1240	 1178.1453	 13.899338
 50	   206	  1260	  1260	 1129.8746	 14.472650
 50	   200	  1280	  1280	 1256.2178	 13.042324
