 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1358.9547	 12.056325
 50	 91022	    60	    60	 1448.7965	 11.308669
 50	 51200	    80	    80	 1429.7761	 11.459137
 50	 32768	   100	   100	 1443.5130	 11.350088
 50	 22755	   120	   120	 1413.7287	 11.588928
 50	 16718	   140	   140	 1422.8209	 11.514900
 50	 12800	   160	   160	 1364.8537	 12.004217
 50	 10113	   180	   180	 1286.6363	 12.733249
 50	  8192	   200	   200	 1248.6464	 13.121409
 50	  6770	   220	   220	 1232.3947	 13.293955
 50	  5688	   240	   240	 1240.9055	 13.201199
 50	  4847	   260	   260	 1612.2738	 10.161339
 50	  4179	   280	   280	 1610.1534	 10.173987
 50	  3640	   300	   300	 1576.3168	 10.391312
 50	  3200	   320	   320	 1605.8137	 10.202927
 50	  2834	   340	   340	 1603.1385	 10.217782
 50	  2528	   360	   360	 1546.7822	 10.590657
 50	  2269	   380	   380	 1575.4120	 10.398664
 50	  2048	   400	   400	 1584.6061	 10.339478
 50	  1857	   420	   420	 1572.0641	 10.418621
 50	  1692	   440	   440	 1542.3300	 10.619362
 50	  1548	   460	   460	 1518.8338	 10.783168
 50	  1422	   480	   480	 1536.2387	 10.663343
 50	  1310	   500	   500	 1519.9342	 10.773493
 50	  1211	   520	   520	 1504.6405	 10.881483
 50	  1123	   540	   540	 1472.6963	 11.117934
 50	  1044	   560	   560	 1484.4521	 11.027584
 50	   974	   580	   580	 1465.1038	 11.181924
 50	   910	   600	   600	 1445.5203	 11.331560
 50	   852	   620	   620	 1424.0296	 11.499368
 50	   800	   640	   640	 1416.0195	 11.570462
 50	   752	   660	   660	 1560.7172	 10.494252
 50	   708	   680	   680	 1543.3519	 10.606110
 50	   668	   700	   700	 1515.2429	 10.800909
 50	   632	   720	   720	 1538.4114	 10.648283
 50	   598	   740	   740	 1507.5768	 10.860634
 50	   567	   760	   760	 1487.9984	 11.004689
 50	   538	   780	   780	 1501.4507	 10.900098
 50	   512	   800	   800	 1487.9585	 11.011060
 50	   487	   820	   820	 1472.4054	 11.119859
 50	   464	   840	   840	 1468.4079	 11.148074
 50	   443	   860	   860	 1453.9869	 11.267048
 50	   423	   880	   880	 1412.5480	 11.595047
 50	   404	   900	   900	 1436.6487	 11.389006
 50	   387	   920	   920	 1395.8244	 11.733453
 50	   370	   940	   940	 1453.8445	 11.243706
 50	   355	   960	   960	 1466.0450	 11.158184
 50	   341	   980	   980	 1383.3287	 11.837259
 50	   327	  1000	  1000	 1433.9738	 11.401882
 50	   314	  1020	  1020	 1466.0905	 11.141386
 50	   302	  1040	  1040	 1373.5111	 11.890810
 50	   291	  1060	  1060	 1414.6550	 11.556443
 50	   280	  1080	  1080	 1427.6791	 11.437864
 50	   270	  1100	  1100	 1347.5678	 12.121839
 50	   261	  1120	  1120	 1502.1456	 10.897692
 50	   252	  1140	  1140	 1390.8732	 11.773151
 50	   243	  1160	  1160	 1472.8810	 11.100041
 50	   235	  1180	  1180	 1394.9249	 11.728732
 50	   227	  1200	  1200	 1473.1276	 11.094762
 50	   220	  1220	  1220	 1381.8973	 11.847769
 50	   213	  1240	  1240	 1455.6368	 11.249674
 50	   206	  1260	  1260	 1375.1959	 11.890873
 50	   200	  1280	  1280	 1450.9797	 11.291681
