 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1826.1674	 8.971795
 50	 91022	    60	    60	 1923.0187	 8.519917
 50	 51200	    80	    80	 2241.5208	 7.309323
 50	 32768	   100	   100	 2014.4121	 8.133390
 50	 22755	   120	   120	 2026.2920	 8.085508
 50	 16718	   140	   140	 2067.6251	 7.923893
 50	 12800	   160	   160	 2177.8849	 7.522895
 50	 10113	   180	   180	 2263.2900	 7.238604
 50	  8192	   200	   200	 2054.1120	 7.976196
 50	  6770	   220	   220	 2424.9566	 6.756162
 50	  5688	   240	   240	 2000.7560	 8.187625
 50	  4847	   260	   260	 2034.3812	 8.052994
 50	  4179	   280	   280	 2231.8432	 7.339978
 50	  3640	   300	   300	 2176.1762	 7.526964
 50	  3200	   320	   320	 1821.1219	 8.996652
 50	  2834	   340	   340	 1694.4266	 9.667294
 50	  2528	   360	   360	 1592.4334	 10.287049
 50	  2269	   380	   380	 2211.4332	 7.407947
 50	  2048	   400	   400	 2352.5817	 6.964264
 50	  1857	   420	   420	 2293.2259	 7.142227
 50	  1692	   440	   440	 1535.4147	 10.667190
 50	  1548	   460	   460	 1756.2162	 9.325640
 50	  1422	   480	   480	 2085.4573	 7.855083
 50	  1310	   500	   500	 2415.2234	 6.779911
 50	  1211	   520	   520	 1753.5247	 9.337034
 50	  1123	   540	   540	 1871.1574	 8.750381
 50	  1044	   560	   560	 1622.3932	 10.089983
 50	   974	   580	   580	 1551.3938	 10.559975
 50	   910	   600	   600	 1718.1166	 9.533695
 50	   852	   620	   620	 1672.9074	 9.788611
 50	   800	   640	   640	 2330.2590	 7.030978
 50	   752	   660	   660	 1618.8915	 10.117145
 50	   708	   680	   680	 1619.8606	 10.105166
 50	   668	   700	   700	 1550.7324	 10.553723
 50	   632	   720	   720	 2032.0036	 8.061718
 50	   598	   740	   740	 1679.2011	 9.750613
 50	   567	   760	   760	 2266.5287	 7.224687
 50	   538	   780	   780	 1682.3561	 9.728000
 50	   512	   800	   800	 2324.7769	 7.047558
 50	   487	   820	   820	 1481.8829	 11.048741
 50	   464	   840	   840	 1596.2006	 10.255553
 50	   443	   860	   860	 1542.4531	 10.620835
 50	   423	   880	   880	 1912.6860	 8.563120
 50	   404	   900	   900	 1544.3378	 10.594832
 50	   387	   920	   920	 1764.0538	 9.284207
 50	   370	   940	   940	 2275.8348	 7.182683
 50	   355	   960	   960	 1775.2496	 9.214704
 50	   341	   980	   980	 1721.2173	 9.513511
 50	   327	  1000	  1000	 2540.1953	 6.436513
 50	   314	  1020	  1020	 1478.1597	 11.050416
 50	   302	  1040	  1040	 1703.3222	 9.588415
 50	   291	  1060	  1060	 1646.8216	 9.927232
 50	   280	  1080	  1080	 1689.9444	 9.662803
 50	   270	  1100	  1100	 1540.8270	 10.601450
 50	   261	  1120	  1120	 1743.5349	 9.388926
 50	   252	  1140	  1140	 2054.9962	 7.968365
 50	   243	  1160	  1160	 1570.6877	 10.408842
 50	   235	  1180	  1180	 1517.8673	 10.778742
 50	   227	  1200	  1200	 1726.0623	 9.468951
 50	   220	  1220	  1220	 2033.5632	 8.051090
 50	   213	  1240	  1240	 2511.7428	 6.519553
 50	   206	  1260	  1260	 1947.2549	 8.397606
 50	   200	  1280	  1280	 1858.4636	 8.815884
